199,C00547182,CAPITALIST PAC,QUARTERLY FILER
200,C00493718,CARMEN'S LIST,QUARTERLY FILER
201,C00558882,CAROLINA CONSERVATIVES UNITED,QUARTERLY FILER
202,C00554394,CAROLINA PATRIOT ALLIANCE,QUARTERLY FILER
203,C00494021,CATHOLICVOTE.ORG CANDIDATE FUND,QUARTERLY FILER
204,C00519876,CATS FOR A BETTER TOMORROW TOMORROW,QUARTERLY FILER
205,C00502658,CAUSEPAC,QUARTERLY FILER
206,C00566257,CEILING PAC,QUARTERLY FILER
207,C00568444,CENTER FORWARD COMMITTEE,QUARTERLY FILER
208,C00567396,CHANGE CAMPAIGN SUPER PAC,QUARTERLY FILER
209,C00521757,CHARACTER COUNTS POLITICAL ACTION COMMITTEE,QUARTERLY FILER
210,C00588939,CHARACTER OF OUR NATION,QUARTERLY FILER
211,C00571299,CHE KEARBY MEMORIAL FUND; THE,QUARTERLY FILER
212,C00572081,CHOOSE THE RIGHT,QUARTERLY FILER
213,C00551291,CHOOSE YOUR MOVEMENT,QUARTERLY FILER
214,C00523084,CHRISTIANITY IN ACTION PAC,QUARTERLY FILER
215,C00572115,CHRISTIANS 4 REPUBLICANS,QUARTERLY FILER
216,C00554170,CHRISTIANS FOR,QUARTERLY FILER
217,C00492215,CHRISTINEPAC,QUARTERLY FILER
218,C00586552,"CITIZEN PAC, INC.",QUARTERLY FILER
219,C00568071,CITIZEN SUNSHINE,QUARTERLY FILER
220,C00569517,CITIZEN SUPER PAC,QUARTERLY FILER
221,C00524082,CITIZENS 4 ETHICS IN GOVERNMENT,QUARTERLY FILER
222,C00581967,CITIZENS AGAINST PLUTOCRACY,QUARTERLY FILER
223,C00491811,CITIZENS ALLIANCE FOR BETTER CANDIDATES,QUARTERLY FILER
224,C00567487,CITIZENS AND PUBLIC SAFETY PROPONENTS FOR TRUTH PAC,QUARTERLY FILER
225,C00574715,CITIZENS FIRST,QUARTERLY FILER
226,C00575571,"CITIZENS FOR A WARMER TOMORROW, TODAY",QUARTERLY FILER
227,C00488767,CITIZENS FOR A WORKING AMERICA PAC,QUARTERLY FILER
228,C00566299,CITIZENS FOR CHANGE,QUARTERLY FILER
229,C00515346,"CITIZENS FOR CONSERVATIVE LEADERSHIP, INC.",QUARTERLY FILER
